Density_composition_average,IsBoron_composition_average,IsTransitionMetal_composition_average,NdValence_composition_average,NValance_composition_average,HeatVaporization_max_value,BoilingT_difference,HeatVaporization_difference,MeltingT_difference,NdValence_difference,NsUnfilled_difference,valence_difference,Site1_Density,Site1_HeatCapacityMass,Site1_HeatFusion,Site1_IsTransitionMetal,Site1_NdValence
-0.151097759,1.17464029,0.333832763,-0.843513817,-0.720892245,0.56391502,0.109147336,0.220140354,0.23007105,-0.324238123,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-0.126708497,1.150959928,0.343196655,-0.799021317,-0.684317947,0.56391502,0.109147336,0.220140354,0.23007105,-0.324238123,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-0.159094116,1.269361739,0.296377195,-0.825912389,-0.700942628,0.56391502,0.109147336,0.220140354,0.23007105,-0.324238123,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-2.156791506,1.782436252,-2.091415267,-2.148464202,-1.798171576,-1.418640068,-0.453058277,-0.750370303,-1.318556057,-1.654387503,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-1.811332404,1.782436252,-2.091415267,-2.148464202,-1.798171576,-1.418640068,-0.809162484,-0.816493007,-1.435135997,-1.654387503,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-2.146013482,1.940305333,-2.091415267,-2.148464202,-1.789859235,-1.418640068,-0.453058277,-0.750370303,-1.318556057,-1.654387503,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-2.138656309,2.177108955,-2.091415267,-2.148464202,-1.777390724,-1.418640068,-0.933555049,-0.942837142,-1.334729264,-1.654387503,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-0.544586548,2.177108955,-1.623220667,-1.317285613,-1.070841781,-0.69911215,-1.043313195,-1.137365872,-0.387816537,0.20782163,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-1.80969227,2.177108955,-2.091415267,-2.148464202,-1.777390724,-1.418640068,-0.809162484,-0.816493007,-1.435135997,-1.654387503,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-0.625328007,2.571781658,-1.623220667,-1.341732042,-1.070841781,-0.69911215,-1.043313195,-1.137365872,-0.387816537,0.20782163,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-1.56006386,6.123835981,-1.623220667,-1.92844634,-1.38255455,-0.740589028,-1.188437854,-1.181945372,-0.27814149,-0.058208246,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-1.559876416,6.123835981,-1.623220667,-1.903999911,-1.361773699,-0.740589028,-1.188437854,-1.181945372,-0.27814149,0.20782163,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-1.582894527,6.242237792,-1.670040127,-1.950448126,-1.395023061,-0.740589028,-1.188437854,-1.181945372,-0.27814149,-0.058208246,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-1.582725827,6.242237792,-1.670040127,-1.92844634,-1.376320295,-0.740589028,-1.188437854,-1.181945372,-0.27814149,0.20782163,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-1.605725193,6.360639602,-1.716859587,-1.972449913,-1.407491572,-0.740589028,-1.188437854,-1.181945372,-0.27814149,-0.058208246,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-1.605575238,6.360639602,-1.716859587,-1.952892769,-1.390866891,-0.740589028,-1.188437854,-1.181945372,-0.27814149,0.20782163,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-1.62855586,6.479041413,-1.763679047,-1.994451699,-1.419960082,-0.740589028,-1.188437854,-1.181945372,-0.27814149,-0.058208246,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-1.628424649,6.479041413,-1.763679047,-1.977339198,-1.405413487,-0.740589028,-1.188437854,-1.181945372,-0.27814149,0.20782163,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
0.583966294,-0.585599963,-0.9989612,-0.437214166,1.422860372,-1.196173176,-0.52257177,-0.703728912,-1.27170473,1.005911258,0.85784908,-0.740265774,3.614723934,-1.279271486,-0.179137453,0.718013956,1.317680438
3.080367076,-0.585599963,0.521110603,1.943868027,4.185051124,-0.740589028,-1.218926228,-0.89633795,-0.698938384,1.005911258,0.85784908,0.264503316,3.614723934,-1.279271486,-0.179137453,0.718013956,1.317680438
3.18404745,-0.585599963,0.405622601,1.762964452,4.436083807,-0.967488059,-2.109186744,-1.494783972,-1.075000217,1.005911258,0.85784908,0.264503316,3.614723934,-1.279271486,-0.179137453,0.718013956,1.317680438
4.418690726,-0.585599963,0.33695406,2.330121606,6.272279826,-0.967488059,-2.098210929,-1.664925511,-0.880473757,-1.654387503,0.85784908,-0.740265774,3.614723934,-1.279271486,-0.179137453,0.718013956,1.317680438
4.35226717,-0.585599963,0.311983681,2.281228748,6.194143825,-0.967488059,-2.098210929,-1.664925511,-0.880473757,-1.654387503,0.85784908,-0.740265774,3.614723934,-1.279271486,-0.179137453,0.718013956,1.317680438
-0.658036967,-0.585599963,0.093492868,-1.463964188,-1.340992848,0.56391502,0.168904549,0.176058551,-0.737741725,-1.654387503,-1.16570621,0.264503316,-1.383308208,4.995841474,-1.20448113,-1.392730589,-1.10635433
-0.712665148,-0.585599963,0.015460435,-1.488410617,-1.361773699,0.56391502,0.168904549,0.176058551,-0.737741725,-1.654387503,-1.16570621,0.264503316,-1.383308208,4.995841474,-1.20448113,-1.392730589,-1.10635433
-0.87654969,-0.585599963,-0.218636866,-1.561749904,-1.424116253,0.56391502,0.168904549,0.176058551,-0.737741725,-1.654387503,-1.16570621,0.264503316,-1.383308208,4.995841474,-1.20448113,-1.392730589,-1.10635433
-0.985806051,-0.585599963,-0.374701732,-1.610642762,-1.465677955,0.56391502,0.168904549,0.176058551,-0.737741725,-1.654387503,-1.16570621,0.264503316,-1.383308208,4.995841474,-1.20448113,-1.392730589,-1.10635433
-1.095062413,-0.585599963,-0.530766599,-1.65953562,-1.507239658,0.56391502,0.168904549,0.176058551,-0.737741725,-1.654387503,-1.16570621,0.264503316,-1.383308208,4.995841474,-1.20448113,-1.392730589,-1.10635433
-1.096468242,-0.585599963,-0.9989612,-0.437214166,-0.613663053,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.264746,-0.585599963,-1.155026066,-0.681678457,-0.800690714,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.067217622,-0.585599963,-0.967748226,-0.388321308,-0.576257521,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.269150932,-0.585599963,-1.155026066,-0.681678457,-0.800690714,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.43742869,-0.585599963,-1.311090933,-0.926142748,-0.987718376,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.271353398,-0.585599963,-1.155026066,-0.681678457,-0.800690714,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.194679472,-0.585599963,-1.030174173,-0.486107024,-0.621975393,-1.354473287,0.26768688,-0.593951003,-0.58776496,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.062119148,-0.585599963,-0.842896333,-0.192749875,-0.364292838,-1.354473287,0.26768688,-0.593951003,-0.58776496,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.188690639,-0.585599963,-0.9989612,-0.437214166,-0.57210135,-1.354473287,0.26768688,-0.593951003,-0.58776496,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.273555863,-0.585599963,-1.155026066,-0.681678457,-0.800690714,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.315262131,-0.585599963,-1.155026066,-0.681678457,-0.779909863,-1.354473287,0.26768688,-0.593951003,-0.58776496,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.357694743,-0.585599963,-1.2330585,-0.803910602,-0.894204545,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.441833622,-0.585599963,-1.311090933,-0.926142748,-0.987718376,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.566952423,-0.585599963,-1.311090933,-0.926142748,-0.925375822,-1.354473287,0.26768688,-0.593951003,-0.58776496,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.462967921,-0.585599963,-1.4671558,-1.170607039,-1.174746037,-1.684369924,-0.888432256,-1.035977725,-1.133297911,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.61011138,-0.585599963,-1.4671558,-1.170607039,-1.174746037,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.478132133,-0.585599963,-1.342303906,-0.975035606,-1.025123908,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.109683037,-0.585599963,-0.9989612,-0.437214166,-0.613663053,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.235092376,-0.585599963,-1.030174173,-0.486107024,-0.605350712,-1.354473287,0.26768688,-0.593951003,-0.58776496,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.277960795,-0.585599963,-1.155026066,-0.681678457,-0.800690714,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.528198397,-0.585599963,-1.155026066,-0.681678457,-0.676005607,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.604141292,-0.585599963,-1.248664986,-0.828357031,-0.800690714,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.446238554,-0.585599963,-1.311090933,-0.926142748,-0.987718376,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.654769889,-0.585599963,-1.311090933,-0.926142748,-0.883814119,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.467372853,-0.585599963,-1.4671558,-1.170607039,-1.174746037,-1.684369924,-0.888432256,-1.035977725,-1.133297911,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.614516312,-0.585599963,-1.4671558,-1.170607039,-1.174746037,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.78134138,-0.585599963,-1.4671558,-1.170607039,-1.091622632,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.482537064,-0.585599963,-1.342303906,-0.975035606,-1.025123908,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.746664259,1.782436252,-1.779285533,-1.65953562,-1.424116253,-1.418640068,-0.933555049,-0.942837142,-1.149471118,-1.654387503,-1.16570621,-0.740265774,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.532603329,-0.585599963,-1.155026066,-0.681678457,-0.676005607,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.383332382,-0.585599963,-1.248664986,-0.828357031,-0.912907311,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.450643485,-0.585599963,-1.311090933,-0.926142748,-0.987718376,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.65917482,-0.585599963,-1.311090933,-0.926142748,-0.883814119,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.722460566,-0.585599963,-1.389123367,-1.048374893,-0.987718376,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.471777784,-0.585599963,-1.4671558,-1.170607039,-1.174746037,-1.684369924,-0.888432256,-1.035977725,-1.133297911,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.618921244,-0.585599963,-1.4671558,-1.170607039,-1.174746037,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.785746312,-0.585599963,-1.4671558,-1.170607039,-1.091622632,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.787199002,-0.585599963,-1.623220667,-1.41507133,-1.361773699,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.912317803,-0.585599963,-1.623220667,-1.41507133,-1.299431145,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.787948778,-0.585599963,-1.4671558,-1.170607039,-1.091622632,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.982140655,1.940305333,-1.9353504,-1.903999911,-1.602831574,-1.354473287,-0.435984788,-0.873870451,-0.95971784,-1.654387503,-1.16570621,-0.740265774,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.1184929,-0.585599963,-0.9989612,-0.437214166,-0.613663053,-1.354473287,-0.435984788,-0.873870451,-1.240130675,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.613157344,2.177108955,-2.091415267,-0.437214166,-0.322731135,-1.648449757,-1.317708559,-1.189837437,-0.360691272,-1.654387503,-1.16570621,-0.740265774,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.455048417,-0.585599963,-1.311090933,-0.926142748,-0.987718376,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.663579752,-0.585599963,-1.311090933,-0.926142748,-0.883814119,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.476182716,-0.585599963,-1.4671558,-1.170607039,-1.174746037,-1.684369924,-0.888432256,-1.035977725,-1.133297911,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.623326175,-0.585599963,-1.4671558,-1.170607039,-1.174746037,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.790151243,-0.585599963,-1.4671558,-1.170607039,-1.091622632,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.791603934,-0.585599963,-1.623220667,-1.41507133,-1.361773699,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.916722735,-0.585599963,-1.623220667,-1.41507133,-1.299431145,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.959881692,-0.585599963,-1.779285533,-1.65953562,-1.54880136,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-2.043294226,-0.585599963,-1.779285533,-1.65953562,-1.507239658,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-2.296437209,-0.585599963,-2.091415267,-2.148464202,-1.922856683,-2.319158,-1.715276954,-1.718250272,-1.318556057,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.286770658,-0.585599963,-1.155026066,-0.681678457,-0.800690714,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.410436769,-0.585599963,-0.9989612,-0.437214166,-0.468197094,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-2.146200926,2.066600598,-2.091415267,-2.148464202,-1.783209363,-1.418640068,-0.933555049,-0.942837142,-1.334729264,-1.654387503,-1.16570621,-0.740265774,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.480587648,-0.585599963,-1.4671558,-1.170607039,-1.174746037,-1.684369924,-0.888432256,-1.035977725,-1.133297911,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.627731107,-0.585599963,-1.4671558,-1.170607039,-1.174746037,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.794556175,-0.585599963,-1.4671558,-1.170607039,-1.091622632,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.921127666,-0.585599963,-1.623220667,-1.41507133,-1.299431145,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-1.964286624,-0.585599963,-1.779285533,-1.65953562,-1.54880136,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.10635433
-0.177313663,1.38776355,-1.4671558,-0.901696319,-0.613663053,-1.26649203,-1.17014483,-1.747187843,-0.95971784,-1.654387503,-1.16570621,0.264503316,0.003092983,-1.04617472,-1.740831689,-1.392730589,-0.863950853
-0.085723888,0.993090847,-1.4671558,-1.170607039,-0.759129012,-0.87289167,-1.17014483,-1.324144736,-0.326027778,-1.654387503,-1.16570621,-0.740265774,0.003092983,-1.04617472,-1.740831689,-1.392730589,-0.863950853
-0.08384945,0.993090847,-1.4671558,-0.87724989,-0.592882202,-1.26649203,-1.17014483,-1.747187843,-0.95971784,-1.654387503,-1.16570621,0.264503316,0.003092983,-1.04617472,-1.740831689,-1.392730589,-0.863950853
0.009614764,0.598418145,-1.4671558,-0.852803461,-0.57210135,-1.26649203,-1.17014483,-1.747187843,-0.95971784,-1.654387503,-1.16570621,0.264503316,0.003092983,-1.04617472,-1.740831689,-1.392730589,-0.863950853
0.114185028,0.203745442,-1.404729853,-0.779464173,-0.518071137,-1.030331814,-1.17014483,-1.493361979,-0.259604862,-0.590267999,0.85784908,2.274041495,0.003092983,-1.04617472,-1.740831689,-1.392730589,-0.863950853
-0.042658653,0.598418145,-1.623220667,-1.072821322,-0.717567309,-1.26649203,-1.17014483,-1.747187843,-0.95971784,-1.654387503,-1.16570621,0.264503316,0.003092983,-1.04617472,-1.740831689,-1.392730589,-0.863950853
0.24514833,0.929943215,0.280770708,0.253152991,0.221727168,1.222782177,0.100610591,0.510938053,0.026894165,-0.856297875,-1.16570621,1.269272405,0.636295428,-0.198886472,0.624837718,0.718013956,0.590470008
0.269974336,1.900838063,0.046673408,-0.009401657,0.346412276,1.533031872,0.971358548,0.844395561,0.735920171,0.20782163,-1.16570621,1.269272405,0.636295428,-0.198886472,0.624837718,0.718013956,0.590470008
0.437581983,-0.11199272,0.311983681,0.203282276,0.205102487,1.387498966,0.204271062,1.09054266,1.559255381,0.20782163,0.85784908,1.269272405,0.636295428,-0.198886472,0.624837718,0.718013956,0.590470008
0.279765468,0.929943215,0.280770708,0.288355849,0.251651594,1.222782177,0.100610591,0.510938053,0.026894165,-0.856297875,-1.16570621,1.269272405,0.636295428,-0.198886472,0.624837718,0.718013956,0.590470008
0.436026199,-0.11199272,0.374409628,0.271732277,0.163540785,1.387498966,0.204271062,0.759075943,1.559255381,0.20782163,0.85784908,1.269272405,0.636295428,-0.198886472,0.624837718,0.718013956,0.590470008
0.314382607,0.929943215,0.280770708,0.323558707,0.28157602,1.222782177,0.100610591,0.510938053,0.026894165,-0.856297875,-1.16570621,1.269272405,0.636295428,-0.198886472,0.624837718,0.718013956,0.590470008
0.348999746,0.929943215,0.280770708,0.358761565,0.311500446,1.222782177,0.100610591,0.510938053,0.026894165,-0.856297875,-1.16570621,1.269272405,0.636295428,-0.198886472,0.624837718,0.718013956,0.590470008
0.279721419,-0.585599963,1.029882069,-0.192749875,-0.364292838,0.56391502,-0.388422925,0.151173663,-0.425353208,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,1.317680438
0.313587845,-0.585599963,1.029882069,-0.075407016,-0.277013262,0.56391502,-0.388422925,0.151173663,-0.425353208,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,1.317680438
0.375676293,-0.585599963,1.029882069,0.13972156,-0.117000707,0.56391502,-0.388422925,0.151173663,-0.425353208,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,1.317680438
0.387618812,0.045876361,0.780178282,0.393964423,0.097042061,0.56391502,0.544521314,0.505747776,0.23007105,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,1.317680438
